timestep,nABC_pure,nABC_clean,nABC_all,nAB_edges,nBC_edges,nApatch3,nBpatch4,nBpatch5,nCpatch6
10000,0,0,0,0,0,75,75,75,75
20000,0,0,0,4,4,75,75,75,75
30000,0,0,0,6,8,75,75,75,75
40000,1,1,1,6,9,75,75,75,75
50000,2,2,2,9,13,75,75,75,75
60000,4,4,6,11,15,75,75,75,75
70000,3,4,6,12,16,75,75,75,75
80000,5,6,8,13,17,75,75,75,75
90000,5,6,8,13,18,75,75,75,75
100000,5,6,8,13,18,75,75,75,75
110000,5,6,8,14,18,75,75,75,75
120000,6,7,9,14,20,75,75,75,75
130000,7,8,10,14,21,75,75,75,75
140000,6,9,11,15,21,75,75,75,75
150000,6,9,11,15,21,75,75,75,75
160000,6,9,11,15,21,75,75,75,75
170000,7,10,12,16,21,75,75,75,75
180000,7,10,12,16,21,75,75,75,75
190000,6,10,12,17,21,75,75,75,75
200000,6,10,12,17,21,75,75,75,75
210000,5,9,13,18,21,75,75,75,75
220000,6,10,14,19,21,75,75,75,75
230000,7,11,15,20,21,75,75,75,75
240000,7,11,15,20,21,75,75,75,75
250000,7,11,15,20,21,75,75,75,75
260000,7,11,15,20,21,75,75,75,75
270000,7,11,15,20,21,75,75,75,75
280000,7,11,15,20,21,75,75,75,75
290000,7,11,15,20,21,75,75,75,75
300000,7,11,15,20,21,75,75,75,75
310000,6,10,16,20,22,75,75,75,75
320000,5,11,17,20,23,75,75,75,75
330000,5,11,17,20,23,75,75,75,75
340000,4,10,18,21,23,75,75,75,75
350000,5,11,19,21,24,75,75,75,75
360000,5,11,19,21,24,75,75,75,75
370000,5,11,19,21,24,75,75,75,75
380000,4,12,20,22,24,75,75,75,75
390000,4,12,20,22,24,75,75,75,75
400000,5,13,21,23,24,75,75,75,75
410000,5,13,21,23,24,75,75,75,75
420000,5,13,21,23,24,75,75,75,75
430000,5,13,21,23,24,75,75,75,75
440000,5,13,21,23,24,75,75,75,75
450000,5,13,21,23,24,75,75,75,75
460000,5,13,21,23,24,75,75,75,75
470000,5,13,21,23,24,75,75,75,75
480000,5,13,21,23,24,75,75,75,75
490000,5,13,21,23,24,75,75,75,75
500000,5,13,23,23,25,75,75,75,75
510000,5,13,23,23,25,75,75,75,75
520000,4,12,24,24,25,75,75,75,75
530000,4,12,24,24,25,75,75,75,75
540000,4,12,24,24,25,75,75,75,75
550000,4,12,24,24,25,75,75,75,75
560000,4,12,24,24,25,75,75,75,75
570000,4,12,24,24,25,75,75,75,75
580000,4,12,24,24,25,75,75,75,75
590000,4,12,24,24,25,75,75,75,75
600000,4,12,24,24,25,75,75,75,75
610000,4,12,24,24,25,75,75,75,75
620000,4,12,24,24,25,75,75,75,75
630000,4,12,26,24,26,75,75,75,75
640000,4,12,26,24,26,75,75,75,75
650000,4,12,26,24,26,75,75,75,75
660000,4,12,26,24,26,75,75,75,75
670000,4,12,26,24,26,75,75,75,75
680000,4,12,26,24,26,75,75,75,75
690000,4,12,26,24,26,75,75,75,75
700000,4,12,26,24,26,75,75,75,75
710000,4,12,26,24,26,75,75,75,75
720000,4,12,26,24,26,75,75,75,75
730000,5,13,27,25,26,75,75,75,75
740000,5,13,27,25,26,75,75,75,75
750000,5,13,27,25,26,75,75,75,75
760000,5,14,28,26,26,75,75,75,75
770000,5,14,28,26,26,75,75,75,75
780000,5,14,28,26,26,75,75,75,75
790000,5,14,28,26,26,75,75,75,75
800000,5,14,28,26,26,75,75,75,75
810000,5,14,28,26,26,75,75,75,75
820000,5,15,29,27,26,75,75,75,75
830000,5,15,29,27,26,75,75,75,75
840000,5,15,29,27,26,75,75,75,75
850000,5,15,29,27,26,75,75,75,75
860000,5,15,29,27,26,75,75,75,75
870000,5,15,29,27,26,75,75,75,75
880000,5,15,29,27,26,75,75,75,75
890000,5,15,29,27,26,75,75,75,75
900000,5,15,29,27,26,75,75,75,75
